,system,latency,subset,ref,doc,level,metric,value,align
23,HW-TSC,medium,nonn,ref+mw-intp,16_develop-most,document,bertscore.f1,0.715115,sent+mw
24,HW-TSC,high,nonn,intp,35_f-e-time-travel-agency,document,bertscore.f1,0.665697,mwer
25,UPV,medium,nonn,ref,austrian,document,bertscore.f1,0.831523,sent
26,FBK,high,nonn,ref+mw-intp,15_brnkni,document,bertscore.f1,0.7182,sent+mw
27,CUNI-KIT,high,nat,intp,ted_63920,document,bertscore.f1,0.715758,mwer
28,HW-TSC,medium,nat,ref,ted_51101,document,bertscore.f1,0.793535,sent
29,NAIST,medium,nonn,intp,38_seta,document,comet-da,-0.7738,mwer
30,CUNI-KIT,low,nonn,ref,39_total-regal,document,comet-da,-0.2917,sent
31,CUNI-KIT,medium,nonn,ref,14_llibres-i-revistes-edb,document,bertscore.f1,0.771233,sent
32,CUNI-KIT,low,nat,ref+mw-intp,ted_42604,document,bertscore.f1,0.856688,sent+mw
33,HW-TSC,medium,nonn,ref+mw-intp,romanian,document,bertscore.f1,0.752073,sent+mw
34,CUNI-KIT,medium,nonn,intp,12_fictionalcine,document,comet-da,-0.375,mwer
35,UPV,low,nonn,ref,20_mela-e-piu,document,comet-da,-1.5887,sent
36,UPV,high,nonn,ref+mw-intp,09_il-gabbiano,document,bertscore.f1,0.720698,sent+mw
37,CUNI-KIT,high,nonn,intp,dutch,document,comet-da,-0.4172,mwer
38,HW-TSC,medium,nat,intp,ted_55061,document,bertscore.f1,0.706519,mwer
39,HW-TSC,low,nonn,intp,belgian,document,bertscore.f1,0.656576,mwer
40,UPV,medium,nonn,ref,34_kol_action_accessoires,document,bertscore.f1,0.776626,sent
41,CUNI-KIT,high,nonn,ref,18_tf-magic-world,document,comet-da,0.3373,sent
42,FBK,low,nat,intp,ted_54706,document,bertscore.f1,0.673242,mwer
43,CUNI-KIT,high,nat,ref,ted_45614,document,bertscore.f1,0.831555,sent
44,FBK,low,nonn,intp,dutch,document,comet-da,-1.0802,mwer
45,NAIST,high,nonn,intp,spanish,document,bertscore.f1,0.675984,mwer
46,UPV,medium,nonn,intp,27_f-e-international-tour,document,comet-da,-0.34,mwer
47,HW-TSC,low,nat,intp,ted_42604,document,bertscore.f1,0.689923,mwer
48,CUNI-KIT,low,nonn,ref,04_g-t,document,bertscore.f1,0.828515,sent
49,HW-TSC,high,nonn,intp,16_develop-most,document,comet-da,-1.2665,mwer
50,CUNI-KIT,low,nonn,ref+mw-intp,37_caspowalk,document,bertscore.f1,0.776442,sent+mw
51,HW-TSC,medium,nonn,ref+mw-intp,21_hat-cap,document,bertscore.f1,0.645073,sent+mw
52,FBK,high,nat,ref+mw-intp,ted_45973,document,bertscore.f1,0.827254,sent+mw
53,UPV,medium,nonn,intp,21_hat-cap,document,bertscore.f1,0.683749,mwer
54,FBK,high,nonn,intp,21_hat-cap,document,comet-da,-0.8882,mwer
55,CUNI-KIT,high,nonn,intp,04_g-t,document,comet-da,0.0451,mwer
56,HW-TSC,high,nat,ref,ted_39331,document,bertscore.f1,0.808295,sent
57,CUNI-KIT,medium,nonn,intp,39_total-regal,document,bertscore.f1,0.763719,mwer
58,HW-TSC,medium,nonn,intp,04_g-t,document,comet-da,-0.9139,mwer
59,UPV,low,nat,ref,ted_55061,document,comet-da,-0.1366,sent
60,FBK,low,nonn,intp,03_botel-proti-proudu,document,bertscore.f1,0.726349,mwer
61,FBK,medium,nonn,ref,37_caspowalk,document,comet-da,-0.6203,sent
62,HW-TSC,low,nonn,intp,06_masaze-petr-klic,document,comet-da,-1.3615,mwer
63,CUNI-KIT,high,nonn,ref,29_salon-n-g,document,bertscore.f1,0.864043,sent
64,UPV,medium,nat,intp,ted_49440,document,comet-da,-0.2524,mwer
65,UPV,high,nonn,ref,04_g-t,document,bertscore.f1,0.844912,sent
66,NAIST,low,nonn,ref+mw-intp,31_devil-chocolate,document,bertscore.f1,0.737722,sent+mw
67,UPV,low,nonn,intp,19_be-beauty,document,bertscore.f1,0.676241,mwer
68,CUNI-KIT,high,nat,ref+mw-intp,ted_60872,document,bertscore.f1,0.83044,sent+mw
69,NAIST,low,nat,ref,ted_57418,document,bertscore.f1,0.798694,sent
70,FBK,high,nat,intp,ted_62628,document,bertscore.f1,0.757398,mwer
71,NAIST,high,nat,ref,ted_49440,document,comet-da,-0.5121,sent
72,NAIST,medium,nonn,intp,36_step-house,document,bertscore.f1,0.593836,mwer
73,UPV,high,nonn,intp,25_folkstyle,document,bertscore.f1,0.785172,mwer
74,HW-TSC,medium,nat,ref,ted_46528,document,comet-da,-0.5669,sent
75,CUNI-KIT,medium,nonn,ref,13_don-bosco-barcelona,document,bertscore.f1,0.780177,sent
76,CUNI-KIT,medium,nonn,intp,32_ck-remoa,document,comet-da,-0.6061,mwer
77,HW-TSC,low,nonn,ref,23_pillowdream,document,bertscore.f1,0.652526,sent
78,UPV,medium,nonn,intp,12_fictionalcine,document,bertscore.f1,0.695809,mwer
79,HW-TSC,high,nat,ref+mw-intp,ted_52268,document,bertscore.f1,0.81285,sent+mw
80,UPV,high,nat,ref,ted_51101,document,comet-da,0.4414,sent
81,NAIST,low,nonn,ref+mw-intp,13_don-bosco-barcelona,document,bertscore.f1,0.69528,sent+mw
82,NAIST,low,nonn,intp,romanian,document,comet-da,-1.2744,mwer
83,HW-TSC,low,nat,ref,ted_45973,document,bertscore.f1,0.728119,sent
84,CUNI-KIT,low,nonn,intp,dutch,document,comet-da,-0.6195,mwer
85,HW-TSC,low,nat,ref,ted_42604,document,comet-da,-0.7019,sent
86,FBK,medium,nonn,intp,28_samanka,document,comet-da,-0.6851,mwer
87,UPV,low,nat,ref,ted_62628,document,comet-da,-0.0255,sent
88,UPV,low,nat,ref,ted_50853,document,bertscore.f1,0.799405,sent
89,FBK,low,nonn,intp,10_magic-travel,document,bertscore.f1,0.569614,mwer
90,HW-TSC,low,nonn,intp,dutch,document,bertscore.f1,0.656775,mwer
91,HW-TSC,low,nat,ref+mw-intp,ted_39331,document,bertscore.f1,0.788903,sent+mw
92,UPV,high,nonn,intp,polish,document,comet-da,-0.4472,mwer
93,UPV,low,nonn,ref,22_new-design-world,document,comet-da,-0.6543,sent
94,UPV,low,nonn,ref,16_develop-most,document,comet-da,-0.7,sent
95,HW-TSC,medium,nat,intp,ted_57418,document,bertscore.f1,0.715841,mwer
96,CUNI-KIT,high,nonn,ref,23_pillowdream,document,bertscore.f1,0.787789,sent
97,FBK,high,nat,ref,ted_39331,document,bertscore.f1,0.883046,sent
98,CUNI-KIT,high,nonn,ref,polish,document,bertscore.f1,0.83962,sent
99,UPV,medium,nat,intp,ted_42604,document,comet-da,-0.5474,mwer
100,NAIST,medium,nat,intp,ted_39331,document,comet-da,-0.7433,mwer
101,CUNI-KIT,high,nonn,ref+mw-intp,20_mela-e-piu,document,bertscore.f1,0.73176,sent+mw
102,HW-TSC,medium,nonn,ref,polish,document,bertscore.f1,0.769521,sent
103,HW-TSC,high,nonn,ref,35_f-e-time-travel-agency,document,comet-da,-1.0487,sent
104,UPV,high,nat,intp,ted_45614,document,comet-da,-0.3935,mwer
105,FBK,high,nonn,ref+mw-intp,29_salon-n-g,document,bertscore.f1,0.751764,sent+mw
106,HW-TSC,medium,nonn,ref,10_magic-travel,document,comet-da,-1.147,sent
107,UPV,low,nonn,intp,03_botel-proti-proudu,document,bertscore.f1,0.722334,mwer
108,UPV,high,nonn,ref,28_samanka,document,bertscore.f1,0.807762,sent
109,UPV,high,nonn,intp,37_caspowalk,document,comet-da,-0.5362,mwer
110,UPV,high,nat,intp,ted_60872,document,bertscore.f1,0.762053,mwer
111,CUNI-KIT,low,nonn,intp,polish,document,comet-da,-0.7449,mwer
112,UPV,high,nonn,ref,19_be-beauty,document,bertscore.f1,0.785681,sent
113,HW-TSC,medium,nonn,ref,belgian,document,comet-da,-1.0176,sent
114,UPV,medium,nonn,intp,30_appolonas,document,bertscore.f1,0.789101,mwer
115,FBK,medium,nonn,ref,14_llibres-i-revistes-edb,document,bertscore.f1,0.709127,sent
116,UPV,low,nonn,ref,spanish,document,bertscore.f1,0.747593,sent
117,UPV,low,nonn,ref,romanian,document,comet-da,-0.2037,sent
118,UPV,medium,nonn,intp,25_folkstyle,document,bertscore.f1,0.790333,mwer
119,NAIST,low,nonn,ref,06_masaze-petr-klic,document,bertscore.f1,0.688709,sent
120,FBK,medium,nonn,intp,08_jizeran,document,comet-da,-0.3088,mwer
121,HW-TSC,high,nonn,intp,polish,document,bertscore.f1,0.683953,mwer
122,CUNI-KIT,high,nonn,ref,belgian,document,comet-da,-0.2866,sent
123,UPV,low,nonn,ref,19_be-beauty,document,comet-da,-0.9917,sent
124,CUNI-KIT,medium,nat,ref,ted_45614,document,bertscore.f1,0.826896,sent
125,HW-TSC,medium,nat,intp,ted_37498,document,bertscore.f1,0.717808,mwer
126,FBK,low,nonn,intp,36_step-house,document,comet-da,-0.8369,mwer
127,CUNI-KIT,low,nat,intp,ted_57418,document,comet-da,-0.4132,mwer
128,CUNI-KIT,medium,nonn,intp,24_mole-g-p-technologies,document,comet-da,-0.6104,mwer
129,HW-TSC,low,nonn,ref,32_ck-remoa,document,comet-da,-1.1836,sent
130,UPV,low,nonn,intp,39_total-regal,document,comet-da,-0.684,mwer
131,CUNI-KIT,medium,nat,ref+mw-intp,ted_49440,document,bertscore.f1,0.860973,sent+mw
132,FBK,medium,nonn,ref,39_total-regal,document,bertscore.f1,0.769348,sent
133,CUNI-KIT,medium,nonn,ref+mw-intp,31_devil-chocolate,document,bertscore.f1,0.887392,sent+mw
134,NAIST,medium,nat,ref,ted_50853,document,comet-da,-0.5793,sent
135,FBK,medium,nat,ref,ted_56901,document,comet-da,-0.1638,sent
136,UPV,low,nonn,ref,22_new-design-world,document,bertscore.f1,0.733391,sent
137,CUNI-KIT,medium,nonn,ref,32_ck-remoa,document,comet-da,-0.0903,sent
138,NAIST,low,nonn,ref+mw-intp,04_g-t,document,bertscore.f1,0.700808,sent+mw
139,UPV,medium,nat,ref,ted_57418,document,comet-da,0.2721,sent
140,UPV,high,nonn,intp,22_new-design-world,document,bertscore.f1,0.767826,mwer
141,UPV,medium,nat,intp,ted_55061,document,comet-da,-0.5962,mwer
142,UPV,high,nonn,ref,11_trefa,document,comet-da,0.2265,sent
143,NAIST,high,nonn,ref+mw-intp,04_g-t,document,bertscore.f1,0.744624,sent+mw
144,UPV,high,nonn,ref,08_jizeran,document,bertscore.f1,0.822832,sent
145,NAIST,medium,nat,ref,ted_39331,document,comet-da,-0.4009,sent
146,CUNI-KIT,low,nonn,intp,spanish,document,comet-da,-0.9231,mwer
147,NAIST,low,nonn,ref,25_folkstyle,document,bertscore.f1,0.709785,sent
148,UPV,high,nonn,intp,21_hat-cap,document,bertscore.f1,0.742139,mwer
149,UPV,high,nonn,ref+mw-intp,23_pillowdream,document,bertscore.f1,0.771353,sent+mw
150,FBK,high,nonn,ref,09_il-gabbiano,document,bertscore.f1,0.68436,sent
151,UPV,medium,nonn,ref+mw-intp,austrian,document,bertscore.f1,0.832378,sent+mw
152,HW-TSC,high,nonn,ref,36_step-house,document,bertscore.f1,0.706812,sent
153,NAIST,low,nonn,ref,30_appolonas,document,comet-da,-0.984,sent
154,HW-TSC,low,nonn,ref,20_mela-e-piu,document,bertscore.f1,0.645182,sent
155,FBK,low,nonn,ref,15_brnkni,document,comet-da,-1.1506,sent
156,UPV,low,nonn,intp,10_magic-travel,document,comet-da,-0.8254,mwer
157,UPV,medium,nat,intp,ted_57418,document,bertscore.f1,0.768563,mwer
158,UPV,medium,nat,ref,ted_54706,document,bertscore.f1,0.796788,sent
159,NAIST,high,nonn,intp,22_new-design-world,document,comet-da,-1.3102,mwer
160,NAIST,low,nat,intp,ted_39331,document,comet-da,-0.7531,mwer
161,HW-TSC,low,nonn,ref+mw-intp,20_mela-e-piu,document,bertscore.f1,0.649851,sent+mw
162,CUNI-KIT,high,nonn,ref,15_brnkni,document,comet-da,-0.1858,sent
163,NAIST,medium,nonn,ref+mw-intp,23_pillowdream,document,bertscore.f1,0.709826,sent+mw
164,FBK,low,nonn,ref,14_llibres-i-revistes-edb,document,comet-da,-0.837,sent
165,HW-TSC,medium,nonn,ref,12_fictionalcine,document,bertscore.f1,0.687503,sent
166,FBK,high,nonn,ref,33_logistic-servis,document,bertscore.f1,0.722406,sent
167,CUNI-KIT,low,nonn,ref+mw-intp,03_botel-proti-proudu,document,bertscore.f1,0.778359,sent+mw
168,FBK,high,nonn,ref,27_f-e-international-tour,document,bertscore.f1,0.81658,sent
169,HW-TSC,high,nonn,intp,belgian,document,comet-da,-1.1249,mwer
170,FBK,medium,nonn,intp,belgian,document,comet-da,-0.8328,mwer
171,HW-TSC,low,nonn,ref+mw-intp,17_tf-smart-team,document,bertscore.f1,0.712817,sent+mw
172,NAIST,low,nat,ref,ted_62628,document,comet-da,-0.6155,sent
173,CUNI-KIT,low,nat,intp,ted_63920,document,bertscore.f1,0.719614,mwer
174,HW-TSC,low,nat,ref,ted_52268,document,comet-da,-0.5654,sent
175,UPV,high,nat,ref,ted_37498,document,bertscore.f1,0.811054,sent
176,NAIST,medium,nonn,ref,21_hat-cap,document,bertscore.f1,0.684326,sent
177,UPV,low,nonn,ref,29_salon-n-g,document,bertscore.f1,0.744825,sent
178,FBK,high,nonn,ref,16_develop-most,document,bertscore.f1,0.770968,sent
179,UPV,low,nonn,ref,34_kol_action_accessoires,document,comet-da,-0.6132,sent
180,HW-TSC,low,nat,intp,ted_54706,document,bertscore.f1,0.663189,mwer
181,HW-TSC,high,nat,intp,ted_57418,document,comet-da,-0.907,mwer
182,FBK,high,nonn,ref+mw-intp,13_don-bosco-barcelona,document,bertscore.f1,0.761228,sent+mw
183,FBK,medium,nonn,intp,15_brnkni,document,bertscore.f1,0.651397,mwer
184,NAIST,high,nat,ref,ted_45614,document,comet-da,-0.5164,sent
185,FBK,high,nonn,ref,35_f-e-time-travel-agency,document,comet-da,-0.623,sent
186,HW-TSC,high,nonn,ref,06_masaze-petr-klic,document,bertscore.f1,0.704899,sent
187,CUNI-KIT,low,nonn,ref,18_tf-magic-world,document,comet-da,0.1564,sent
188,NAIST,high,nat,ref+mw-intp,ted_50853,document,bertscore.f1,0.774691,sent+mw
189,FBK,high,nonn,ref,romanian,document,comet-da,-0.0247,sent
190,UPV,medium,nonn,ref,polish,document,bertscore.f1,0.817447,sent
191,CUNI-KIT,medium,nonn,ref,austrian,document,bertscore.f1,0.854124,sent
192,FBK,high,nonn,intp,11_trefa,document,comet-da,-0.5167,mwer
193,UPV,medium,nonn,ref,15_brnkni,document,bertscore.f1,0.749294,sent
194,NAIST,high,nonn,ref,11_trefa,document,comet-da,-0.7745,sent
195,FBK,low,nonn,ref+mw-intp,17_tf-smart-team,document,bertscore.f1,0.707211,sent+mw
196,FBK,medium,nonn,ref,35_f-e-time-travel-agency,document,bertscore.f1,0.759987,sent
197,NAIST,high,nonn,intp,19_be-beauty,document,bertscore.f1,0.664668,mwer
198,NAIST,low,nonn,intp,13_don-bosco-barcelona,document,bertscore.f1,0.694692,mwer
199,FBK,high,nonn,intp,34_kol_action_accessoires,document,comet-da,-0.9806,mwer
200,FBK,low,nat,intp,ted_42604,document,bertscore.f1,0.691131,mwer
201,FBK,high,nonn,intp,35_f-e-time-travel-agency,document,bertscore.f1,0.715432,mwer
202,CUNI-KIT,low,nonn,ref,06_masaze-petr-klic,document,bertscore.f1,0.810224,sent
203,CUNI-KIT,medium,nat,intp,ted_37498,document,comet-da,-0.2527,mwer
204,UPV,medium,nat,intp,ted_37498,document,bertscore.f1,0.755329,mwer
205,FBK,medium,nonn,intp,spanish,document,bertscore.f1,0.708983,mwer
206,UPV,low,nonn,ref+mw-intp,26_tabacco-shop,document,bertscore.f1,0.814757,sent+mw
207,UPV,low,nonn,intp,dutch,document,bertscore.f1,0.664686,mwer
208,FBK,medium,nat,intp,ted_52268,document,comet-da,-0.3437,mwer
209,HW-TSC,low,nat,ref,ted_50853,document,bertscore.f1,0.750687,sent
210,NAIST,high,nat,ref,ted_52268,document,bertscore.f1,0.79762,sent
211,UPV,medium,nat,ref,ted_63920,document,comet-da,0.071,sent
212,NAIST,medium,nat,ref,ted_51101,document,comet-da,-0.2759,sent
213,NAIST,low,nonn,ref,polish,document,comet-da,-1.2888,sent
214,UPV,low,nonn,ref,37_caspowalk,document,comet-da,-0.5111,sent
215,UPV,medium,nonn,ref,18_tf-magic-world,document,bertscore.f1,0.81738,sent
216,CUNI-KIT,medium,nonn,ref,09_il-gabbiano,document,comet-da,-0.5786,sent
217,CUNI-KIT,high,nonn,ref,romanian,document,comet-da,0.281,sent
218,CUNI-KIT,medium,nonn,ref+mw-intp,29_salon-n-g,document,bertscore.f1,0.851938,sent+mw
219,FBK,high,nat,intp,ted_56901,document,bertscore.f1,0.745477,mwer
220,UPV,medium,nonn,intp,24_mole-g-p-technologies,document,comet-da,-0.3305,mwer
221,HW-TSC,medium,nonn,ref,39_total-regal,document,bertscore.f1,0.705156,sent
222,HW-TSC,medium,nonn,intp,28_samanka,document,comet-da,-0.9434,mwer
223,UPV,low,nat,ref,ted_45973,document,bertscore.f1,0.794287,sent
224,UPV,low,nonn,intp,17_tf-smart-team,document,bertscore.f1,0.70812,mwer
225,FBK,high,nat,intp,ted_52268,document,bertscore.f1,0.757408,mwer
226,CUNI-KIT,high,nonn,ref,08_jizeran,document,bertscore.f1,0.829615,sent
227,NAIST,high,nonn,ref,19_be-beauty,document,bertscore.f1,0.685688,sent
228,HW-TSC,low,nonn,ref,30_appolonas,document,bertscore.f1,0.733253,sent
229,NAIST,high,nonn,intp,37_caspowalk,document,comet-da,-1.036,mwer
230,CUNI-KIT,high,nonn,ref,22_new-design-world,document,comet-da,-0.2994,sent
231,FBK,low,nonn,intp,21_hat-cap,document,bertscore.f1,0.718977,mwer
232,HW-TSC,high,nonn,ref,spanish,document,comet-da,-1.1993,sent
233,NAIST,low,nonn,ref+mw-intp,05_i-dodge,document,bertscore.f1,0.695574,sent+mw
234,UPV,medium,nat,intp,ted_55061,document,bertscore.f1,0.739051,mwer
235,CUNI-KIT,medium,nonn,ref,35_f-e-time-travel-agency,document,bertscore.f1,0.822515,sent
236,HW-TSC,low,nonn,intp,26_tabacco-shop,document,comet-da,-1.1396,mwer
237,HW-TSC,medium,nonn,intp,30_appolonas,document,comet-da,-1.1608,mwer
238,UPV,medium,nonn,ref+mw-intp,25_folkstyle,document,bertscore.f1,0.85216,sent+mw
239,CUNI-KIT,low,nonn,ref,12_fictionalcine,document,comet-da,-0.5407,sent
240,CUNI-KIT,medium,nonn,ref+mw-intp,35_f-e-time-travel-agency,document,bertscore.f1,0.831068,sent+mw
241,NAIST,low,nonn,ref,austrian,document,comet-da,-1.0362,sent
242,CUNI-KIT,high,nat,intp,ted_37498,document,comet-da,-0.2301,mwer
243,HW-TSC,low,nonn,ref+mw-intp,10_magic-travel,document,bertscore.f1,0.647186,sent+mw
244,CUNI-KIT,low,nat,ref,ted_39331,document,bertscore.f1,0.866072,sent
245,UPV,high,nonn,ref+mw-intp,austrian,document,bertscore.f1,0.8513,sent+mw
246,NAIST,medium,nonn,ref,11_trefa,document,comet-da,-0.6444,sent
247,UPV,medium,nonn,intp,04_g-t,document,comet-da,-0.6656,mwer
248,NAIST,low,nonn,ref+mw-intp,19_be-beauty,document,bertscore.f1,0.690475,sent+mw
249,CUNI-KIT,medium,nat,ref,ted_63920,document,comet-da,0.2432,sent
250,NAIST,medium,nonn,ref,04_g-t,document,comet-da,-1.1388,sent
251,HW-TSC,low,nonn,ref+mw-intp,18_tf-magic-world,document,bertscore.f1,0.68189,sent+mw
252,HW-TSC,high,nat,ref,ted_46528,document,comet-da,-0.5585,sent
253,HW-TSC,medium,nonn,intp,24_mole-g-p-technologies,document,bertscore.f1,0.559456,mwer
254,CUNI-KIT,low,nonn,ref,37_caspowalk,document,comet-da,-0.5081,sent
255,NAIST,medium,nonn,intp,12_fictionalcine,document,comet-da,-1.2142,mwer
256,CUNI-KIT,low,nonn,ref,15_brnkni,document,comet-da,-0.4695,sent
257,UPV,medium,nat,ref,ted_63920,document,bertscore.f1,0.807402,sent
258,UPV,high,nonn,ref+mw-intp,19_be-beauty,document,bertscore.f1,0.790117,sent+mw
259,NAIST,medium,nonn,ref+mw-intp,09_il-gabbiano,document,bertscore.f1,0.704134,sent+mw
260,HW-TSC,low,nonn,ref,20_mela-e-piu,document,comet-da,-1.5957,sent
261,HW-TSC,low,nonn,intp,36_step-house,document,comet-da,-1.4296,mwer
262,CUNI-KIT,medium,nonn,intp,18_tf-magic-world,document,comet-da,-0.0792,mwer
263,HW-TSC,high,nonn,intp,20_mela-e-piu,document,comet-da,-1.3491,mwer
264,NAIST,medium,nat,ref,ted_57418,document,bertscore.f1,0.79668,sent
265,FBK,medium,nat,ref+mw-intp,ted_42604,document,bertscore.f1,0.849023,sent+mw
266,HW-TSC,medium,nonn,intp,08_jizeran,document,comet-da,-1.2536,mwer
267,NAIST,medium,nonn,ref,29_salon-n-g,document,bertscore.f1,0.743981,sent
268,HW-TSC,medium,nonn,ref+mw-intp,13_don-bosco-barcelona,document,bertscore.f1,0.706628,sent+mw
269,CUNI-KIT,high,nonn,ref,28_samanka,document,bertscore.f1,0.82944,sent
270,UPV,high,nonn,intp,16_develop-most,document,comet-da,-0.3344,mwer
271,UPV,high,nat,ref,ted_50853,document,comet-da,0.4083,sent
272,FBK,low,nat,ref+mw-intp,ted_39331,document,bertscore.f1,0.805766,sent+mw
273,NAIST,high,nonn,ref,13_don-bosco-barcelona,document,bertscore.f1,0.708585,sent
274,FBK,medium,nat,ref,ted_62628,document,bertscore.f1,0.801893,sent
275,CUNI-KIT,medium,nonn,intp,13_don-bosco-barcelona,document,bertscore.f1,0.733178,mwer
276,FBK,medium,nonn,intp,27_f-e-international-tour,document,bertscore.f1,0.696833,mwer
277,UPV,high,nat,ref+mw-intp,ted_60872,document,bertscore.f1,0.828821,sent+mw
278,CUNI-KIT,medium,nonn,intp,39_total-regal,document,comet-da,-0.5186,mwer
279,NAIST,high,nat,intp,ted_62628,document,comet-da,-0.6551,mwer
280,FBK,medium,nonn,ref,19_be-beauty,document,comet-da,-0.8964,sent
281,HW-TSC,medium,nonn,intp,belgian,document,comet-da,-1.1144,mwer
282,FBK,low,nonn,ref,36_step-house,document,comet-da,-0.45,sent
283,CUNI-KIT,low,nonn,intp,17_tf-smart-team,document,comet-da,-0.6002,mwer
284,CUNI-KIT,low,nonn,ref,16_develop-most,document,comet-da,-0.0183,sent
285,HW-TSC,high,nonn,ref,29_salon-n-g,document,comet-da,-1.335,sent
286,NAIST,low,nat,ref,ted_55061,document,comet-da,-0.6775,sent
287,UPV,high,nat,ref,ted_39331,document,comet-da,0.4641,sent
288,UPV,high,nonn,ref,34_kol_action_accessoires,document,comet-da,-0.4506,sent
289,HW-TSC,low,nonn,intp,19_be-beauty,document,bertscore.f1,0.611599,mwer
290,FBK,low,nonn,ref,polish,document,comet-da,-0.9997,sent
291,FBK,high,nat,intp,ted_57418,document,comet-da,-0.4453,mwer
292,UPV,low,nat,ref,ted_46528,document,bertscore.f1,0.809397,sent
293,FBK,medium,nat,ref+mw-intp,ted_45614,document,bertscore.f1,0.807324,sent+mw
294,CUNI-KIT,high,nat,ref+mw-intp,ted_50853,document,bertscore.f1,0.841939,sent+mw
295,UPV,low,nonn,intp,12_fictionalcine,document,comet-da,-1.4249,mwer
296,HW-TSC,high,nonn,intp,37_caspowalk,document,bertscore.f1,0.669216,mwer
297,UPV,low,nonn,ref,32_ck-remoa,document,bertscore.f1,0.765866,sent
298,NAIST,medium,nonn,intp,32_ck-remoa,document,comet-da,-1.1689,mwer
299,NAIST,medium,nonn,intp,belgian,document,comet-da,-1.1712,mwer
300,HW-TSC,high,nat,intp,ted_62628,document,comet-da,-0.7278,mwer
301,HW-TSC,medium,nonn,intp,07_bucherinsel-west,document,bertscore.f1,0.599017,mwer
302,FBK,high,nonn,ref+mw-intp,21_hat-cap,document,bertscore.f1,0.75323,sent+mw
303,CUNI-KIT,low,nat,ref+mw-intp,ted_54706,document,bertscore.f1,0.797548,sent+mw
304,HW-TSC,low,nonn,ref+mw-intp,28_samanka,document,bertscore.f1,0.733181,sent+mw
305,NAIST,high,nonn,ref+mw-intp,05_i-dodge,document,bertscore.f1,0.678603,sent+mw
306,HW-TSC,high,nonn,ref,polish,document,bertscore.f1,0.769547,sent
307,NAIST,high,nonn,intp,29_salon-n-g,document,comet-da,-0.8537,mwer
308,HW-TSC,medium,nat,intp,ted_37498,document,comet-da,-0.835,mwer
309,UPV,medium,nat,intp,ted_56901,document,comet-da,-0.6158,mwer
310,CUNI-KIT,low,nat,ref+mw-intp,ted_46528,document,bertscore.f1,0.834591,sent+mw
311,UPV,medium,nonn,ref,22_new-design-world,document,bertscore.f1,0.780577,sent
312,FBK,high,nonn,ref,38_seta,document,bertscore.f1,0.740803,sent
313,HW-TSC,high,nonn,ref,17_tf-smart-team,document,comet-da,-0.7809,sent
314,FBK,low,nat,ref+mw-intp,ted_51101,document,bertscore.f1,0.789684,sent+mw
315,UPV,high,nonn,ref,23_pillowdream,document,comet-da,-0.669,sent
316,CUNI-KIT,low,nonn,ref,25_folkstyle,document,comet-da,-0.1134,sent
317,NAIST,medium,nonn,ref,polish,document,comet-da,-1.0982,sent
318,FBK,medium,nat,ref,ted_62628,document,comet-da,0.0483,sent
319,NAIST,high,nat,ref,ted_63920,document,comet-da,-0.7935,sent
320,FBK,medium,nonn,ref,24_mole-g-p-technologies,document,comet-da,-0.8322,sent
321,CUNI-KIT,high,nonn,ref,13_don-bosco-barcelona,document,comet-da,-0.1423,sent
322,UPV,low,nat,intp,ted_39331,document,bertscore.f1,0.751735,mwer
